Location,lat,lng,state,population
Adelaide,-34.9289,138.6011,South Australia,1345777
Albany,-35.0228,117.8814,Western Australia,34205
Albury,-36.0806,146.9158,New South Wales,47974
AliceSprings,-23.698,133.8807,Northern Territory,25186
BadgerysCreek,-33.8969,150.7281,New South Wales,225
Ballarat,-37.55,143.85,Victoria,105471
Bendigo,-36.75,144.2667,Victoria,99122
Brisbane,-27.4678,153.0281,Queensland,2514184
Cairns,-16.9303,145.7703,Queensland,152729
Canberra,-35.2931,149.1269,Australian Capital Territory,426704
Cobar,-31.4997,145.8319,New South Wales,3990
CoffsHarbour,-30.3,153.1,New South Wales,71822
Dartmoor,-37.9,141.3,Victoria,263
Darwin,-12.4381,130.8411,Northern Territory,136828
GoldCoast,-27.939,153.4283,Queensland,551721
Hobart,-42.8806,147.325,Tasmania,240342
Katherine,-14.4667,132.2667,Northern Territory,1488
Launceston,-41.4419,147.145,Tasmania,87328
Melbourne,-37.8136,144.9631,Victoria,5078193
MelbourneAirport,-37.6654,144.8322,Victoria,0
Mildura,-34.1889,142.1583,Victoria,32738
Moree,-29.465,149.8344,New South Wales,9311
MountGambier,-37.7473,140.7739,South Australia,29639
MountGinini,-35.5293,148.7721,New South Wales,0
Newcastle,-32.9167,151.75,New South Wales,322278
Nhil,-36.3347,141.6367,Victoria,1749
NorahHead,-33.2814,151.5766,New South Wales,0
NorfolkIsland,-29.036,167.9708,Other Territories,1748
Nuriootpa,-34.4667,138.9833,South Australia,6314
PearceRAAF,-31.6669,116.0189,Western Australia,0
Penrith,-33.7511,150.6942,New South Wales,13295
Perth,-31.9522,115.8589,Western Australia,2059484
PerthAirport,-31.9275,115.9764,Western Australia,0
Portland,-38.3333,141.6,Victoria,10900
Richmond,-33.5983,150.7511,New South Wales,5482
Sale,-38.1,147.0667,Victoria,15135
SalmonGums,-32.9803,121.6433,Western Australia,191
Sydney,-33.865,151.2094,New South Wales,5312163
SydneyAirport,-33.9465,151.1731,New South Wales,0
Townsville,-19.2564,146.8183,Queensland,180820
Tuggeranong,-35.4184,149.0937,Australian Capital Territory,85154
Uluru,-25.3602,131.0196,Northern Territory,0
WaggaWagga,-35.1082,147.3598,New South Wales,56442
Walpole,-34.9761,116.7328,Western Australia,439
Watsonia,-37.7,145.0833,Victoria,5214
Williamtown,-32.7939,151.8386,New South Wales,885
Witchcliffe,-34.0281,115.1042,Western Australia,339
Wollongong,-34.4331,150.8831,New South Wales,302739
Woomera,-31.1558,136.8054,South Australia,146